country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,continent
Argentina,ARG,29/12/2020,700,,,,,0,,,,Sputnik V,South America
Argentina,ARG,30/12/2020,,,,,15656,,,,346,Sputnik V,South America
Argentina,ARG,31/12/2020,32013,,,,15656,0.07,,,346,Sputnik V,South America
Argentina,ARG,1/01/2021,,,,,11070,,,,245,Sputnik V,South America
Argentina,ARG,2/01/2021,,,,,8776,,,,194,Sputnik V,South America
Argentina,ARG,3/01/2021,,,,,7400,,,,164,Sputnik V,South America
Argentina,ARG,4/01/2021,39599,,,,6483,0.09,,,143,Sputnik V,South America
Argentina,ARG,5/01/2021,,,,,7984,,,,177,Sputnik V,South America
Argentina,ARG,6/01/2021,,,,,8173,,,,181,Sputnik V,South America
Argentina,ARG,7/01/2021,,,,,8363,,,,185,Sputnik V,South America
Argentina,ARG,8/01/2021,107542,,,,10519,0.24,,,233,Sputnik V,South America
Argentina,ARG,9/01/2021,,,,,11942,,,,264,Sputnik V,South America
Argentina,ARG,10/01/2021,,,,,13365,,,,296,Sputnik V,South America
Argentina,ARG,11/01/2021,,,,,14788,,,,327,Sputnik V,South America
Argentina,ARG,12/01/2021,,,,,14056,,,,311,Sputnik V,South America
Argentina,ARG,13/01/2021,166833,,,,13323,0.37,,,295,Sputnik V,South America
Argentina,ARG,14/01/2021,,,,,13320,,,,295,Sputnik V,South America
Argentina,ARG,15/01/2021,200759,,,,13317,0.44,,,295,Sputnik V,South America
Argentina,ARG,16/01/2021,,,,,12971,,,,287,Sputnik V,South America
Argentina,ARG,17/01/2021,,,,,12624,,,,279,Sputnik V,South America
Argentina,ARG,18/01/2021,,,,,12278,,,,272,Sputnik V,South America
Argentina,ARG,19/01/2021,,,,,11932,,,,264,Sputnik V,South America
Argentina,ARG,20/01/2021,247933,243539,4394,,11586,0.55,0.54,0.01,256,Sputnik V,South America
Argentina,ARG,21/01/2021,265724,249372,16352,17791,11704,0.59,0.55,0.04,259,Sputnik V,South America
Argentina,ARG,22/01/2021,279602,254456,25146,13878,11263,0.62,0.56,0.06,249,Sputnik V,South America
Argentina,ARG,23/01/2021,288064,258876,29188,8462,11124,0.64,0.57,0.06,246,Sputnik V,South America
Austria,AUT,5/01/2021,8360,8360,,,,0.09,0.09,,,Pfizer/BioNTech,Europe
Austria,AUT,6/01/2021,,,,,3368,,,,374,Pfizer/BioNTech,Europe
Austria,AUT,7/01/2021,15095,15095,,,3368,0.17,0.17,,374,Pfizer/BioNTech,Europe
Austria,AUT,8/01/2021,30150,30150,,15055,7263,0.33,0.33,,806,Pfizer/BioNTech,Europe
Austria,AUT,9/01/2021,31525,31525,,1375,5791,0.35,0.35,,643,Pfizer/BioNTech,Europe
Austria,AUT,10/01/2021,31885,31885,,360,4705,0.35,0.35,,522,Pfizer/BioNTech,Europe
Austria,AUT,11/01/2021,38545,38545,,6660,5031,0.43,0.43,,559,Pfizer/BioNTech,Europe
