country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,continent
Albania,ALB,10/01/2021,0,0,,,,0,0,,,Pfizer/BioNTech,Europe
Albania,ALB,11/01/2021,,,,,64,,,,22,Pfizer/BioNTech,Europe
Albania,ALB,12/01/2021,128,128,,,64,0,0,,22,Pfizer/BioNTech,Europe
Albania,ALB,13/01/2021,188,188,,60,63,0.01,0.01,,22,Pfizer/BioNTech,Europe
Albania,ALB,14/01/2021,266,266,,78,66,0.01,0.01,,23,Pfizer/BioNTech,Europe
Albania,ALB,15/01/2021,308,308,,42,62,0.01,0.01,,22,Pfizer/BioNTech,Europe
Albania,ALB,16/01/2021,369,369,,61,62,0.01,0.01,,22,Pfizer/BioNTech,Europe
Albania,ALB,17/01/2021,405,405,,36,58,0.01,0.01,,20,Pfizer/BioNTech,Europe
Albania,ALB,18/01/2021,447,447,,42,55,0.02,0.02,,19,Pfizer/BioNTech,Europe
Albania,ALB,19/01/2021,483,483,,36,51,0.02,0.02,,18,Pfizer/BioNTech,Europe
Albania,ALB,20/01/2021,519,519,,36,47,0.02,0.02,,16,Pfizer/BioNTech,Europe
Albania,ALB,21/01/2021,549,549,,30,40,0.02,0.02,,14,Pfizer/BioNTech,Europe
Albania,ALB,22/01/2021,,,,,34,,,,12,Pfizer/BioNTech,Europe
Albania,ALB,23/01/2021,,,,,26,,,,9,Pfizer/BioNTech,Europe
Albania,ALB,24/01/2021,,,,,21,,,,7,Pfizer/BioNTech,Europe
Albania,ALB,25/01/2021,,,,,15,,,,5,Pfizer/BioNTech,Europe
Albania,ALB,26/01/2021,,,,,9,,,,3,Pfizer/BioNTech,Europe
Albania,ALB,27/01/2021,,,,,4,,,,1,Pfizer/BioNTech,Europe
Albania,ALB,28/01/2021,,,,,,,,,,Pfizer/BioNTech,Europe
Albania,ALB,29/01/2021,,,,,,,,,,Pfizer/BioNTech,Europe
Albania,ALB,30/01/2021,,,,,,,,,,Pfizer/BioNTech,Europe
Albania,ALB,31/01/2021,,,,,,,,,,Pfizer/BioNTech,Europe
Albania,ALB,1/02/2021,,,,,,,,,,Pfizer/BioNTech,Europe
Albania,ALB,2/02/2021,550,549,1,,,0.02,0.02,0,,Pfizer/BioNTech,Europe
Albania,ALB,3/02/2021,,,,,12,,,,4,Pfizer/BioNTech,Europe
Albania,ALB,4/02/2021,,,,,24,,,,8,Pfizer/BioNTech,Europe
Albania,ALB,5/02/2021,,,,,35,,,,12,Pfizer/BioNTech,Europe
